Date,datevalue,t,Close
2004-03-15,38061,2004.206,29.55
2004-03-12,38058,2004.197,30.77
2004-03-11,38057,2004.194,30.02
2004-03-10,38056,2004.192,30.61
2004-03-09,38055,2004.189,31.15
2004-03-08,38054,2004.186,31.98
2004-03-05,38051,2004.178,33.27
2004-03-04,38050,2004.175,32.68
2004-03-03,38049,2004.172,33.02
2004-03-02,38048,2004.169,34.46
2004-03-01,38047,2004.167,34.75
2004-02-27,38044,2004.156,34.4
2004-02-26,38043,2004.153,33.6
2004-02-25,38042,2004.15,31.11
2004-02-24,38041,2004.147,31.2
2004-02-23,38040,2004.144,35.02
2004-02-20,38037,2004.136,35.38
2004-02-19,38036,2004.133,34.15
2004-02-18,38035,2004.131,35.24
